OrderID,ProductID,Quantity,OrderDate,CustomerPhone,ProductCategory
1,144,3,2023-09-13,+17363428460,Books
2,147,5,2023-04-12,+12118787697,Books
3,164,2,2023-01-16,+12125312223,Electronics
4,167,3,2024-02-16,+13520091358,Grocery
5,167,2,2023-02-22,+10335371036,Electronics
6,109,3,2023-09-24,+10892102477,Toys
7,183,3,2023-02-20,+19462742177,Home & Kitchen
8,121,4,2023-06-30,+14876682378,Grocery
9,136,3,2023-11-18,+19192662524,Clothing
10,187,5,2024-01-06,+13625144257,Grocery
11,170,4,2024-01-28,+14486921890,Toys
12,188,2,2023-02-02,+12369432266,Toys
13,188,4,2023-04-26,+12297978443,Grocery
14,112,2,2024-02-05,+19005783161,Toys
15,158,2,2023-11-05,+14582036878,Grocery
16,165,2,2023-04-05,+13603944304,Books
17,139,3,2023-07-31,+11543156403,Home & Kitchen
18,187,5,2023-08-23,+13652574341,Clothing
19,146,4,2023-04-09,+14573853153,Toys
20,188,2,2023-04-22,+18641652996,Grocery
21,181,5,2023-06-10,+18930462082,Electronics
22,137,2,2024-01-27,+11321788186,Electronics
23,125,2,2023-03-27,+12045121155,Clothing
24,177,1,2024-02-18,+11636372188,Clothing
25,172,2,2023-09-14,+13944490435,Books
26,109,1,2023-03-01,+12310219474,Toys
27,120,1,2024-02-03,+17574509729,Electronics
28,180,2,2023-08-05,+18067972509,Electronics
29,169,5,2023-07-10,+11231997201,Electronics
30,179,5,2024-01-25,+18901241755,Books
31,147,3,2023-06-02,+19647372749,Grocery
32,164,1,2023-01-16,+15307245885,Grocery
33,182,5,2023-07-07,+18567228952,Home & Kitchen
34,199,5,2023-03-08,+15533214626,Books
35,188,3,2023-04-29,+11641705658,Electronics
36,149,1,2023-12-24,+16192234059,Toys
37,129,2,2023-01-22,+14357970239,Electronics
38,119,1,2023-11-15,+11001268356,Clothing
39,119,4,2023-09-22,+17155842087,Electronics
40,114,5,2024-02-03,+17679545210,Toys
41,139,3,2023-01-04,+15994059711,Grocery
42,132,1,2023-04-25,+13710552426,Home & Kitchen
43,165,3,2023-08-30,+12805636901,Grocery
44,109,4,2024-01-18,+10509873362,Toys
45,157,2,2023-03-18,+11234837842,Home & Kitchen
46,132,2,2023-03-23,+19202698088,Electronics
47,131,5,2023-01-10,+16183406738,Clothing
48,174,1,2023-11-26,+16363537148,Clothing
49,123,4,2023-10-06,+13993210021,Electronics
50,135,1,2024-01-28,+19607121161,Clothing
51,175,1,2023-02-07,+19399768547,Books
52,155,3,2023-07-04,+12625040307,Clothing
53,128,5,2023-08-16,+13359061437,Grocery
54,134,5,2023-09-10,+17336338846,Home & Kitchen
55,100,1,2024-01-18,+12656304420,Clothing
56,100,1,2023-12-20,+10638101044,Toys
57,136,4,2023-03-24,+18573157739,Electronics
58,153,1,2023-07-09,+10208991029,Home & Kitchen
59,105,5,2023-11-25,+13193097399,Electronics
60,138,3,2023-09-30,+17321616830,Clothing
61,117,4,2023-02-26,+17985321205,Clothing
62,179,3,2024-01-31,+16557959109,Electronics
63,104,1,2023-07-10,+15868481235,Grocery
